ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
268.7,0.9954,369500,0.6921,NA,NA,NA,NA,139400000,2.918,11280,0.8414,266.9,0.9957
201.5,0.982,1.567e+09,9.346,NA,NA,NA,NA,2.997e+09,8.422,11090,0.8725,262.9,1.019
196.8,1.325,43760,6.755,NA,NA,NA,NA,1.775e+09,6.514,7061,0.9987,345.7,0.9201
192.5,1.015,10380,7.092,NA,NA,NA,NA,439900000,6.403,9106,0.8816,310,0.8408
189,0.8377,17710,4.867,NA,NA,NA,NA,504000,7.923,12550,0.8226,302.8,0.9187
194.8,1.163,8899,2.893,NA,NA,NA,NA,16650000,7.242,25080,0.7019,316.3,1.022
198.3,1.182,1933000,2.528,NA,NA,NA,NA,195100000,1.485,27340,0.5822,288.7,1.003
171.3,1.065,5125,3.766,NA,NA,NA,NA,41060000,0.5317,9512,0.9043,300.8,0.9498
233.1,1.253,5782,2.062,NA,NA,NA,NA,1200000,0.3776,24230,0.7105,337.8,0.9193
214.5,1.278,23160000,7.329,NA,NA,NA,NA,1200000,0.3776,20060,0.7703,317.7,0.7396
